epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4742,1.92667,9.30681,1.49276,0.08554,0.27273,0.054,0.02076,1.86176,14.5851,1.68093,0.0001,0.0001,0.0001
2,32.8595,1.662,6.93703,1.33689,0.97842,1,0.995,0.6996,1.12233,7.06092,1.341,0.00021637,0.00021637,0.00021637
3,35.9865,1.33847,3.34337,1.20442,0.74787,0.72727,0.78672,0.54027,1.10981,7.09962,1.24851,0.00032878,0.00032878,0.00032878
4,38.3768,1.33872,2.22241,1.16121,0.07142,0.5806,0.06852,0.04862,1.03888,8.03405,1.18484,0.00043723,0.00043723,0.00043723
5,41.15,1.2153,1.62693,1.13708,0.44242,0.5785,0.42158,0.30311,1.05465,7.14978,1.2404,0.00054172,0.00054172,0.00054172
6,43.913,1.26845,1.39467,1.18725,0.003,0.81818,0.0112,0.00803,1.12432,7.62304,1.2483,0.00064225,0.00064225,0.00064225
7,47.3976,1.21121,1.2193,1.18282,0.018,0.63636,0.02534,0.01925,1.04865,7.32133,1.18139,0.00073882,0.00073882,0.00073882
8,49.9314,1.28485,1.05572,1.13416,0.00333,0.90909,0.04603,0.03268,1.18045,4.51473,1.33809,0.00083143,0.00083143,0.00083143
9,52.3703,1.29403,1.00513,1.15332,0.29815,0.27273,0.52995,0.35562,1.27333,2.77207,1.42429,0.00092008,0.00092008,0.00092008
10,54.6637,1.18979,0.95201,1.13804,0.04149,0.63636,0.04592,0.03138,1.16775,2.7659,1.34052,0.00100477,0.00100477,0.00100477
11,57.1552,1.23786,0.83897,1.15833,0.95881,1,0.995,0.72229,0.99083,1.66192,1.19873,0.0010855,0.0010855,0.0010855
12,60.3012,1.24809,0.92321,1.11192,0.85284,1,0.9875,0.66385,1.11002,1.39105,1.27529,0.00116227,0.00116227,0.00116227
13,63.2901,1.16332,0.83378,1.13465,0.2458,0.36364,0.27755,0.18027,1.29284,1.77725,1.38299,0.00123508,0.00123508,0.00123508
14,65.6777,1.21799,0.81386,1.15787,0.72696,0.81818,0.75903,0.56416,1.20094,1.10814,1.34876,0.00130393,0.00130393,0.00130393
15,67.967,1.20976,0.77555,1.20257,1,0.63173,0.77028,0.54733,1.20479,1.01687,1.32038,0.00136882,0.00136882,0.00136882
16,70.2756,1.11808,0.81213,1.12516,0.95985,0.45455,0.65792,0.34995,1.57934,1.62693,1.46939,0.00142975,0.00142975,0.00142975
17,72.8159,1.09979,0.75071,1.09839,0.7295,0.45455,0.57553,0.3543,1.52308,3.06079,1.47135,0.001472,0.001472,0.001472
18,76.1262,1.15679,0.74338,1.11836,1,0.74168,0.86105,0.60016,1.25098,1.24048,1.37656,0.001439,0.001439,0.001439
